类别,书名,作者,价格,出版社,商家,简介
爆笑/无厘头青春文学,段子上的西游,两色风景,23.00,北京时代华文书局,自营,这是一本会让你忍不住嘴角上扬的书。观看过程请谨慎喝水，以防呛到或喷出。 烦恼那么多，不如看段子！新浪微博知名大V、微信自媒体公众号、《少年绘》等媒体联袂推荐！ 如果西游从大话变成笑话？ 如果八十一难是八十一桩槽点满满的喜剧？ 如果取经五人组是一群整天打打闹闹的神经病？ 如果这种事情都被允许发生，那一定是因为世界对它爱得深沉。 两色风景
爆笑/无厘头青春文学,青春奇妙物语6,两色风景,21.10,中国致公出版社,自营,猫腻、玄色、裟椤双树诚意推荐！ 续命合约、缩小糖果、咬痕变身、替身外卖 奇幻狂潮再袭校园，魔性日常笑点不断！ 两色风景脑洞喜剧代表作《青春奇妙物语6》再现江湖！ 全新9万字结局大戏独家首发！ 2020年7月，惊喜上市！ ●《庆余年》原著作者、起点网白金作家猫腻，畅销小说《哑舍》作者玄色、《浮生物语》作者裟椤双树诚意推荐！ 两色风景脑洞喜剧代表作《青春奇妙物语》系列*新作品上市！ ●万众期待的怪诞校园的魔性日常！ ●万千追捧的十个臭男人的暖萌青春！ ●全新修订九万字结局大戏独家首发！
爆笑/无厘头青春文学,花火系列套装（《千里蜜缘兜错圈》+《情有千千劫》+《追爱N计划》）,九尾狸/红摇/晚情,47.80,光明日报出版社,自营,《千里蜜缘兜错圈》： 1.考古系才女作家九尾狸奉上校园小清新之作，不论你仍在校园还是已入社会，都能感受到字里行间的唯美小甜蜜。 2.“考古系小书呆是怎样成为全校女生公敌的？”、“***腹黑校园王子情归何处？”、“考古系儒雅学长心系何处？”众多校园八卦，在书中一一为你解答。 3.青梅竹马的设定+校园偶像的人物+唯美浪漫的文字=“萌动天下”系列新作——《千里蜜缘兜错圈》。 《情有千千劫》： 花火工作室众编辑掩面羞涩推荐——超萌蠢现代功夫系列狂风来袭！ 她一腔狭义双拳紧握裤脚翻飞 他傲气万丈眼神凌厉领带飘扬 功夫少女vs腹黑总裁男，爆笑欢喜冤家大碰撞，小心绝招“桃花点穴手”！ ——这，注定一场风中凌乱的桃花劫！ 《追爱N计划》： “天下同萌”“全城热恋”【花火】两大热卖书系首度联手推荐——颠覆传统笑料，
