类别,书名,作者,价格,出版社,商家,简介
仙侠玄幻青春文学,剑来礼盒套装（下）（22-42册）烽火戏诸侯继《雪中悍刀行》后又一经典之作！玄幻武侠不得不看的作品！胸中一点浩然气，天地,烽火戏诸侯,907.20,浙江文艺出版社,自营,★烽火戏诸侯全新长篇力作，一剑进入古典仙侠新世界 纵横中文网点击量超2.92亿 喜马拉雅有声书播放量超20.6亿 入选首届中国网络文学周2017年 中国网络小说排行榜 年榜 获第二届泛华文网络文学 金键盘 奖最佳故事创意奖 ★独家网络修订珍藏版 独家版权，精心修订，让文本内容更为考究。纸质图书首次面世发售；紧跟作者更文步伐，图书出版并行推进。 ★精致装帧，赠送精美海报及书签 全书装帧精美，随书附赠精美海报、书签、桃花笺、拉页账本、Q版人物涂鸦卡，极具收藏价值。 ★ 大千世界，无奇不有。我陈平安，唯有一剑，可搬山，断江，倒海，降妖，镇魔，敕神，摘星，摧城，开天！
仙侠玄幻青春文学,剑来13：陇上花又开,烽火戏诸侯,38.80,浙江文艺出版社,自营,★烽火戏诸侯全新长篇力作，一剑进入古典仙侠新世界 纵横中文网点击量超1.6亿 喜马拉雅有声书播放量超8.3亿 百度日均搜索指数45万 入选首届中国网络文学周2017年 中国网络小说排行榜 年榜 ★独家网络修订珍藏版 独家版权，精心修订，让文本内容更为考究。纸质图书首次面世发售；紧跟作者更文步伐，图书出版并行推进。 ★精致装帧，赠送精美海报及书签 全书装帧精美，随书附赠精美海报、书签、明信片和手账，极具收藏价值。 ★ 大千世界，无奇不有。我陈平安，唯有一剑，可搬山，断江，倒海，降妖，镇魔，敕神，摘星，摧城，开天！
仙侠玄幻青春文学,剑来：第三辑（15-21）烽火戏诸侯继《雪中悍刀行》后又一经典之作！玄幻武侠不得不看的作品！胸中一点浩然气，天地千里快哉,烽火戏诸侯,269.20,浙江文艺出版社,自营,★烽火戏诸侯全新长篇力作，一剑进入古典仙侠新世界 纵横中文网点击量超1.86亿 喜马拉雅有声书播放量超11.1亿 百度日均搜索指数45万 入选首届中国网络文学周2017年 中国网络小说排行榜 年榜 第二届泛华文网络文学 金键盘 奖 *故事创意奖 ★独家网络修订珍藏版 独家版权，精心修订，让文本内容更为考究。纸质图书首次面世发售；紧跟作者更文步伐，图书出版并行推进。 ★精致装帧，赠送精美海报及书签 全书装帧精美，随书附赠精美海报、书签、明信片，极具收藏价值。 ★ 大千世界，无奇不有。我陈平安，唯有一剑，可搬山，断江，倒海，降妖，镇魔，敕神，摘星，摧城，开天！
仙侠玄幻青春文学,剑来8：误入藕花渡,烽火戏诸侯,37.00,浙江文艺出版社,自营,★烽火戏诸侯全新长篇力作，一剑进入古典仙侠新世界 纵横中文网点击量超1.6亿 喜马拉雅有声书播放量超8.3亿 百度日均搜索指数45万 入选首届中国网络文学周2017年 中国网络小说排行榜 年榜 ★独家网络修订珍藏版 独家版权，精心修订，让文本内容更为考究。纸质图书首次面世发售；紧跟作者更文步伐，图书出版并行推进。 ★精致装帧，赠送精美海报及书签 全书装帧精美，随书附赠精美海报、书签、明信片和手账，极具收藏价值。 ★ 大千世界，无奇不有。我陈平安，唯有一剑，可搬山，断江，倒海，降妖，镇魔，敕神，摘星，摧城，开天！
仙侠玄幻青春文学,剑来12：人间羊肠道,烽火戏诸侯,38.80,浙江文艺出版社,自营,★烽火戏诸侯全新长篇力作，一剑进入古典仙侠新世界 纵横中文网点击量超1.6亿 喜马拉雅有声书播放量超8.3亿 百度日均搜索指数45万 入选首届中国网络文学周2017年 中国网络小说排行榜 年榜 ★独家网络修订珍藏版 独家版权，精心修订，让文本内容更为考究。纸质图书首次面世发售；紧跟作者更文步伐，图书出版并行推进。 ★精致装帧，赠送精美海报及书签 全书装帧精美，随书附赠精美海报、书签、明信片和手账，极具收藏价值。 ★ 大千世界，无奇不有。我陈平安，唯有一剑，可搬山，断江，倒海，降妖，镇魔，敕神，摘星，摧城，开天！
仙侠玄幻青春文学,剑来9：乱起太平山,烽火戏诸侯,38.80,浙江文艺出版社,自营,★烽火戏诸侯全新长篇力作，一剑进入古典仙侠新世界 纵横中文网点击量超1.6亿 喜马拉雅有声书播放量超8.3亿 百度日均搜索指数45万 入选首届中国网络文学周2017年 中国网络小说排行榜 年榜 ★独家网络修订珍藏版 独家版权，精心修订，让文本内容更为考究。纸质图书首次面世发售；紧跟作者更文步伐，图书出版并行推进。 ★精致装帧，赠送精美海报及书签 全书装帧精美，随书附赠精美海报、书签、明信片和手账，极具收藏价值。 ★ 大千世界，无奇不有。我陈平安，唯有一剑，可搬山，断江，倒海，降妖，镇魔，敕神，摘星，摧城，开天！
仙侠玄幻青春文学,剑来10：他乡遇故知,烽火戏诸侯,38.80,浙江文艺出版社,自营,★烽火戏诸侯全新长篇力作，一剑进入古典仙侠新世界 纵横中文网点击量超1.6亿 喜马拉雅有声书播放量超8.3亿 百度日均搜索指数45万 入选首届中国网络文学周2017年 中国网络小说排行榜 年榜 ★独家网络修订珍藏版 独家版权，精心修订，让文本内容更为考究。纸质图书首次面世发售；紧跟作者更文步伐，图书出版并行推进。 ★精致装帧，赠送精美海报及书签 全书装帧精美，随书附赠精美海报、书签、明信片和手账，极具收藏价值。 ★ 大千世界，无奇不有。我陈平安，唯有一剑，可搬山，断江，倒海，降妖，镇魔，敕神，摘星，摧城，开天！
仙侠玄幻青春文学,剑来14：江清月近人,烽火戏诸侯,38.80,浙江文艺出版社,自营,★烽火戏诸侯全新长篇力作，一剑进入古典仙侠新世界 纵横中文网点击量超1.6亿 喜马拉雅有声书播放量超8.3亿 百度日均搜索指数45万 入选首届中国网络文学周2017年 中国网络小说排行榜 年榜 ★独家网络修订珍藏版 独家版权，精心修订，让文本内容更为考究。纸质图书首次面世发售；紧跟作者更文步伐，图书出版并行推进。 ★精致装帧，赠送精美海报及书签 全书装帧精美，随书附赠精美海报、书签、明信片和手账，极具收藏价值。 ★ 大千世界，无奇不有。我陈平安，唯有一剑，可搬山，断江，倒海，降妖，镇魔，敕神，摘星，摧城，开天！
仙侠玄幻青春文学,剑来17：一洲皆起剑,烽火戏诸侯,38.80,浙江文艺出版社,自营,★烽火戏诸侯全新长篇力作，一剑进入古典仙侠新世界 纵横中文网点击量超1.86亿 喜马拉雅有声书播放量超11.1亿 百度日均搜索指数45万 入选首届中国网络文学周2017年 中国网络小说排行榜 年榜 第二届泛华文网络文学 金键盘 奖 *故事创意奖 ★独家网络修订珍藏版 独家版权，精心修订，让文本内容更为考究。纸质图书首次面世发售；紧跟作者更文步伐，图书出版并行推进。 ★精致装帧，赠送精美海报及书签 全书装帧精美，随书附赠精美海报、书签、明信片和手账，极具收藏价值。 ★ 大千世界，无奇不有。我陈平安，唯有一剑，可搬山，断江，倒海，降妖，镇魔，敕神，摘星，摧城，开天！
仙侠玄幻青春文学,司命【当当亲签版】,九鹭非香/酷威文化,35.80,江苏凤凰文艺出版社,自营,人气作家九鹭非香经典仙侠之作，全新修订版，新增独家 高甜 番外。 万龙遗孤VS天地司命，最美的情话是： 若天待你不公，我便逆了这天又如何。 惹人醉爱的隽永长情，不是轰轰烈烈，而是回首处永远有他在。 下一世，等我喝过孟婆汤，走过奈何桥，忘记所有，你再来找我吧，我们重新开始。 随书特别附赠 古装无脸 画家呼葱觅蒜创意手绘卡。
