类别,书名,作者,价格,出版社,商家,简介
悬疑/惊悚青春文学,风眼 独家特签 异兽迷城作者彭湃 携简漫书 首次合著 亲情悬疑力作 当当自营,简漫书/彭湃,34.30,江苏凤凰文艺出版社,自营,★彭湃，畅销书作者，作品题材多样，塑造出众多令人印象深刻的角色，微博粉丝35万，抖音粉丝20万，代表作《异兽迷城》等。简漫书，新锐作者，作品情感细腻，想象天马行空。本书是作者彭湃与妻子简漫书的合著力作。此次出版实体书，装帧精美，赠品丰厚，新增番外，作者做序，充分满足读者期待。 ★未来是惶惑、是忐忑，是不可捉摸，是迷雾里美丽又光鲜的沼泽。时空循环的穿越追凶设定，充满悬念的故事剧情，细腻丝滑的情感刻画，阅读体验刺激又不失温情治愈。 ★装帧精美：内外封设计，精选特种纸，封面质感UV工艺，四色印特签、内文彩插设计。随书附赠：风眼人设卡*5+循环海报+救赎明信片+蝴蝶效应贴纸
悬疑/惊悚青春文学,心陨 赠一万字独家番外——织梦者与转校生，随书赠忆青春大海报+双人探案卡+Q版笔电异形卡2张+Q版梦回校园卡,初禾,52.20,江苏凤凰文艺出版社,自营,★ 纯爱作者初禾高人气力作《心毒》续篇《心毒之陨罪书》，柳花开启新的征程。 ★ 一万字独家超甜番外 织梦者与转校生 ★ 双封设计，内置 精美 彩页！ 知名设计 人气画手，打造超质感书品。 ★ 刀山火海，与你柳暗花明！ ★ 如果过去不堪回首，我把我的人生交给你 。 ★ 随书附赠： 忆青春大海报 双人探案卡 Q版笔电异形卡2张 Q版梦回校园卡 。
悬疑/惊悚青春文学,她的名字 于雷继《守法公民》《狩猎现场》后挑战自我之作 超大精美海报＋独家案情线索卡×6 随书附赠,于雷,33.30,北京联合出版有限公司,自营,1.《她的名字》是于雷继《守法公民》《狩猎现场》之后，全新长篇悬疑刑侦小说。故事延续了作者一贯的高情节密度、重反转、多人物故事线的风格。 2.兼具诡计、解谜、反转、社会性等爆款悬疑作品元素，结构精巧，高潮迭起：故事由一宗不寻常的绑架，两起匪夷所思的命案串联起绵延22年的爱恨情仇，看似毫无关联的事件却暗藏勾连。层层递进的叙事手法，让读者完全跟着情节设定追寻真相，欲罢不能。 3.以真实感极强的人设、场景、生活细节编织跌宕起伏的悬疑故事，为读者营造出身临其境的阅读体验。 4.兄弟篇《守法公民》《狩猎现场》目前由超一线制作公司剧改中。
悬疑/惊悚青春文学,心陨 纯爱作者初禾高人气力作《心毒》续篇，原名《心毒之陨罪书》，柳花开启新的征程 一万字独家番外——织梦者与转校生， 正,暂无作者信息,43.50,江苏凤凰文艺出版社,哈尼兔图书专营店,暂无简介
悬疑/惊悚青春文学,万花筒千里+万花筒一榭共两册西子绪网络原名死亡万花筒完结篇新增独家番外独家赠品双男主奇幻冒险灵异悬疑,西子绪,67.84,江苏凤凰文艺出版社,荷露茗图书专营店,暂无简介
悬疑/惊悚青春文学,神探太子妃：全新番外首次放送，暖萌吃货女神探VS清冷不羁太子爷，陈年旧案，风波再起，沧海寻针，拨云见月。,卫雨,24.00,长江文艺出版社,自营,作品是每天读点故事APP受欢迎的古风悬疑故事，总浏览量3万次，总点赞数3.3万次，总留言数2467次，评论区一片叫好。 小说有一定的思考和情怀，格局开阔，主角们也都有各自的成长轨迹。 作者文笔流畅自然，在认真推理和欢脱言情之间拿捏得恰到好处，写案件时氛围紧张，情节一波三折，写言情时主角互动欢脱暖萌，张弛有度。
悬疑/惊悚青春文学,海盗鬼皮书,旋翼之刃,19.20,中国致公出版社,自营,1. 天翼阅读旗下阿尔法文学网人气作品 一部惊心动魄的海洋冒险传奇。点击量超过2000万次，听书粉丝超过300万。历时半年，精心修订成书。 2．本书结合了两大热门主题 海盗和盗墓。讲述了一次惊险离奇的海上之旅，也是一段脑洞大开的勇士成长史。孤岛暗杀，恐怖游轮，海盗内讧，深海奇物 融合了各种奇妙的海上幻想传说和精彩绝伦的打斗情节。整个故事由一本 鬼皮书 展开，为我们徐徐拉开了一幕幕精彩的海上影像。比《加勒比海盗》更接地气，比《海贼王》更残酷悬疑，比《盗墓笔记》《鬼吹灯》更险象环生。 3．惊险、奇幻、刺激、脑洞的畅快阅读。作者行文流畅，故事节奏紧凑，谜题一个个展开，答案却牵涉出更大的谜团。人物形象丰满立体：本是宅男却意外卷入阴谋的男主人公林济苍，娇小可爱却城府颇深的小海盗伊登，心狠手辣却讲义气的海盗少
悬疑/惊悚青春文学,心陨 纯爱作者初禾高人气力作《心毒》续篇，原名《心毒之陨罪书》，柳花开启新的征程,初禾,52.20,江苏凤凰文艺出版社,自营,暂无简介
