类别,书名,作者,价格,出版社,商家,简介
穿越/重生青春文学,七夜谈（十四阙新作。7个短篇故事实为1整长篇，以解意料之外情理之中的悬念。世间万物，莫不过…… 因绝望而死，源希望而生,十四阙,17.50,新世界出版社,自营,本书仍有着十四阙鲜明的独一无二的叙述手法——意料之外情理之中的悬念设计，细腻微妙的情绪渲染，精致妥贴的人物内心刻画，再加上她经典的聊斋式魅幻爱情……展开本书，魍魉狐媚活色生香，仙神灵秀仪态万千，丝丝交集脉脉相连，皆化了十丈软红内的痴儿怨女，缘深情长……
穿越/重生青春文学,瑶华初记,茂林修竹/记忆坊出品/有容书邦/发行,22.00,江苏文艺出版社,自营,网络大神级作家茂林修竹帝后深爱系列之《瑶华初记》 关键词: 皇后世家前世今生虐恋情深 皇后重生，孤傲帝王难辨真假陷入纠结苦恋， 两世纠缠，他们的爱能否绝境逢生？ 深宫暗流涌动、帝后虐恋情深、世家恩怨难辨， 前世今生，原来只为成全一段旧爱！ 缠绵处黯然销魂，动情时潸然泪下！ 独家番外：《皇太子求学记》《陌上花开》 人的心里有多少求而不得，就有多少次想重来一次。 但幸福常常不在别处，就在此生此路。
穿越/重生青春文学,妾本惊华（当红人气大神西子情亿万点击量言情大作。惊华重生，乱世棋局。独家番外+人物档案+华丽海报 超值典藏·悦读纪·）,西子情,29.30,江苏文艺出版社,自营,潇湘书院当红大神西子情亿万点击量言情大作 常年雄踞订阅榜TOP1，移动周畅销总榜NO4 惊华重生，乱世棋局，挥剑临江山，舞一世缱绻 一封休书，两道圣旨，十里锦红?嫁！铁血马蹄，江山如画，倾尽天下?娶！ 独家番外 人物档案 华丽彩插 精美书签 读者互动品评 主题曲词 潇湘书院当红大神西子情亿万点击量言情大作 常年雄踞订阅榜TOP1，移动周畅销总榜No.4 惊华重生，乱世棋局，挥剑临江山，舞一世缱绻 一纸休书，两道圣旨，十里锦红?嫁！铁血马蹄，江山如画，倾尽天下?娶！ 独家番外 人物档案 华丽彩插 精美书签 读者互动品评 主题曲词 两世情殇，惊华重生，她绝情弃爱，誓要远离天下男人！ 孰料锦绣乾坤，倾城风华，竟惹天下诸公子争相追逐！ 一盘乱世棋局，一曲琴箫合奏，谁甘愿为她倾尽天下
穿越/重生青春文学,水墨山河珍藏版（震撼上市，绝密番外独家倾情奉献，随书震撼附赠珍藏版光盘，大容量收纳 coser版MV 、预告版广播剧、精,金子,28.20,沈阳出版社,自营,暂无简介
穿越/重生青春文学,华胥引珍藏版（全2册，当当网独家特供绝密番外！蔡康永、方文山、许常德、胡歌、姚谦亲自推荐）,唐七公子,40.60,现代出版社,自营,《华胥引珍藏版》绝密番外首次公开
穿越/重生青春文学,帝台娇（上、下）,沐非,34.50,江苏文艺出版社,自营,网络*经典*催人泪下的百本言情之一 百万读者赞不绝口 数次修订，新增独家番外，赠送精美书签 *哀恸悲绝的宫廷绝恋，**气磅礴的诡谲风云 一念之差，十年挚爱却抵不过一滴金枝血！ 险象环生，手握权柄涅槃归来再掀复仇风暴！ 我不甘心，天下人皆可定吾之罪，惟有你，不能！
穿越/重生青春文学,姐姐有毒（血族·狼族降临，穿越版《暮光之城》来袭。起点金牌作家柳暗花溟倾情巨献吸血鬼罗曼史，女道士猎人与美男吸血鬼的前世,柳暗花溟,34.30,江苏文艺出版社,自营,血族·狼族降临，穿越版《暮光之城》来袭 起点金牌作家柳暗花溟倾情巨献吸血鬼罗曼史 女道士猎人与美男吸血鬼的前世今生 探秘寻宝·玄幻重生·中西合璧·独家番外·精彩纷呈 畅销书作家倾泠月、浅绿、天下归元、潇湘冬儿 联袂推荐 《姐姐有毒》是柳暗花溟**实力的浪漫巨献，女道士猎人与美男吸血鬼，穿越前世今生，谱写了一曲浪漫的爱情赞歌。该书属吸血鬼题材，加入了穿越、玄幻、中西结合的新元素，堪称穿越版的《暮光之城。 《姐姐有毒》是柳暗花溟**实力的浪漫巨献，女道士猎人与美男吸血鬼，穿越前世今生，谱写了一曲浪漫的爱情赞歌。该书属吸血鬼题材，加入了穿越、玄幻、中西结合的新元素，堪称穿越版的《暮光之城》。
穿越/重生青春文学,帝凰（买一赠一）（天下归元女帝传奇经典作品系列。当当独家赠送金子穿越经典《梦回大清》,天下归元,48.70,辽宁教育出版社,自营,该小说将现代悬疑破案元素代入古代争霸大背景中。不走普通宫廷路线，主线为悬疑题材，抽丝剥茧，层层深入，在追寻真相的过程中掺杂爱情、争霸、破案、官场风云、战争、权谋权术等多元素，层次丰富，故事悬疑气氛浓厚，包袱不断抛出再层层解开，步步深入引人入胜，人物个性鲜明，各具特色，感情细腻动人，引人落泪。 2011年悦读纪重磅推出“新穿越”小说系列，掀起了一股新穿越小说阅读热潮！新系列小说以其人物的个性化（如法医、特警、特工、穿二代等），故事的独特化（探案、剿匪、战争、盗墓、盗国等），言情的别致化(中国风意、格调清丽、古韵浓郁、愉悦张狂等)，视觉的画面感（视觉效果——画面感、镜头感、神秘感、共鸣感；文化含蕴——真善美慧、爱与人生、认知信仰。）等，将会给读者带来更多新鲜和感动！ “新穿越”小说
穿越/重生青春文学,凤临天下(军情特工穿越力作，一世风流续写全新番外，赠穿越版2012计时精美台历！当当网独家特供）,一世风流,52.00,光明日报出版社,自营,腾讯白金级作者一世风流，描天下之宏图，绘天下之霸业，抒人世之情爱，让你在阅读中一步步沦陷。本文融宫廷权谋、江湖争斗、天下争霸等诸多元素，在步步惊心的回旋中，带你领略热带雨林的风光，指挥野狼兵团的霸气，制作热气球的纯熟技巧，大摆虫子宴的惊心动魄，同时一段生死不渝的爱情，也让人为了男女主人公的情深如许而感慨。 随书附赠精美穿越版2012年折叠式桌卡计时台历。
穿越/重生青春文学,法老的宠妃套装（全3册）(独家赠送精美画扇),悠世,66.70,暂无出版商,自营,Ⅰ、Ⅱ、终结篇火速集结，一起体味超越时空的旷世之恋！ 究竟是时间可以摧毁爱情，还是爱情可以穿越千年？ 网络人气作家——悠世在古埃及的天空下谱写超越“尼罗河女儿”的惊世爱情传奇、今古绝恋神话！ 台湾地区*畅销的大陆穿越文，持久霸占台湾言情畅销榜冠军，将琼瑶、席绢请下言情宝座的穿越大作！ 悦读纪当家大神悠世精心打造，Ⅰ、Ⅱ、终结篇集结上市，再掀两岸三地穿越飓风！ “我和你一同饮下这生命之水，约定再会亦不忘却往生……”
