类别,书名,作者,价格,出版社,商家,简介
热血/成长青春文学,我们就是世界,PANO,24.60,长江文艺出版社,自营,《我们就是世界》画风温暖治愈，文字简洁不失内涵，部分篇幅中法语相嵌，故事启人心扉，又充满了欧洲风情。书中各个片段看似独立，但 碎片化 布局间却有着某种深层次的联系，折射出了不少人生哲学。这一次Pano自己担任本书的装帧设计师，你看到的将是一本他用心熬制的精美绘本，更能让你有一种让眼睛享受、让心灵愉悦、让精神提升的美妙体验。
热血/成长青春文学,爱至荼蘼，夏季微凉：魅丽优品重点打造 青春文学畅销作者 叶冰伦 继《再见，小时候》之后又一青春力作,叶冰伦,19.30,知识出版社,自营,魅丽优品官推力作，用*震撼人心的青春文字，独家追忆刻骨铭心的青春时光，揪心讲述属于你我的失落悲伤
热血/成长青春文学,"尘寰（麦洛洛长篇处女作震撼上市，当知轮回 爱为根本,当当独家赠送明信片1张）",麦洛洛,19.30,群言出版社,自营,文字的纯熟和思想的丰沛无关年龄。 他用*洁净的文笔写*黑暗的人性， 构筑了一个文字的感官世界， 他的文字在混乱脏浊的世界里保留了灵魂的纯净。 他是**潜力的文坛新秀， 他是麦洛洛。
热血/成长青春文学,我生在1994，我是不是老了,陈鹿鹿/九志天达,23.90,河南人民出版社,自营,★直击 90 后的成长记忆 ，接地气儿又不失深刻。这里探讨了年轻人关心的一切命题，治愈被世俗成功学绑架的焦虑症患者，慰藉人生半路迷茫不安的心。 ★鹿鹿诚邀十个 94 年新星讲述心声，集合十段 90 后独家记忆，复旦明星姐妹花、科研工作者、军人、创业者、大学生 同你分享温暖与孤独，拥抱星辰与日月。 ★随书赠送 定格记忆 精致书签，陪你纪念沿途风景。 ★扫码可收听本书音频版，柔软之声，伴以戳心文字，抚慰千万种丧气。
热血/成长青春文学,"52赫兹的回声 (中国内地具有影响力的女生成长系列图书，“我不是坏女生”系列第七本！2015年""我不是坏女生”系列图书同",饶雪漫,22.60,译林出版社,自营,中国内地**影响力的女生成长系列图书 治愈励志系图书金奖得主饶雪漫2015强势归来 *能引发共鸣的女生成长记录 《52赫兹的回声》为“我不是坏女生”系列图书的第七本。 2014年，饶雪漫的“我不是坏女生”系列图书影视版权签约爱奇艺。 由《蛰伏》《斗鱼》《左半边翅膀》改编的“我不是坏女生”系列网络剧正在紧张制作中。 预计2015年3月开拍。 2015年6月在爱奇艺独家首播。
热血/成长青春文学,《女孩，不哭1+2》套装珍藏版,彭湃,34.80,百花洲文艺出版社,自营,★暖男作家彭湃，深情撰写不一样的女孩成长记。 经典力作 全新续写 超长番外，阔别5年100W读者翘首期待。 我的青春，因为遇见你而勇敢。 ★第十届中国作家总榜上榜作家彭湃知名代表作，讲述勇敢爱勇敢追梦的少女正能量青春。 ★当当独家签名本，限量供应。 ★随书附赠作者亲写信 签名版明信片，讲述专属于女孩的正能量青春记忆。 ★《女孩，不哭1》全新修订版 《女孩，不哭2》完美终结版，超容量阅读，另有精彩番外，感动升级。 以前我爱哭、懦弱、不坚强，直到遇见了你； 以前我逃避、怀疑、又彷徨，直到相信了爱。 作者其他代表作：《 当我们的青春渐渐苍老 》、《 当我们的青春无处安放 》、《当我们的青春渐行渐远》。
热血/成长青春文学,《17SEVENTEEN》八月号（重磅作品《离歌》番外篇独家呈现）,饶雪漫,8.20,故事家杂志社,自营,文字女巫饶雪漫倾力打造，重磅作品《离歌》番外篇独家呈现。带给你*多感动的青春文学杂志，女生故事、青涩年华、那些难以启齿的少年情事，*懂得女生的作家饶雪漫，带给所有不甘平凡生活的女生*真*全的成长宝典。
热血/成长青春文学,听说我们不曾落泪(深度剖析90后成长真相，特别赠送《微言情》创刊号)(当当独家签名本随机发送),7号同学,15.00,湖南人民出版社,自营,“傅亚斯，你是世间*美的琉璃镶嵌在我的眸子里。我从不曾落泪，以为你能在我的眼里永远闪耀。”几年过去，这句话依旧是万千读者念念不忘的心底回响。 2014 年第九届中国作家榜总榜*年轻作家 7 号同学成名作、《紫色年华》杂志铂金纪念作品。 《听说我们不曾落泪》一经推出便被百家媒体誉为 “ 华语青春成长**书 ” ，并荣登当年开卷畅销书排行榜、当当青春图书热卖榜 TOP10 。 本书以女主人公成长为主线，涉及追星族、拜金女、**室友、不伦恋、大学生小三等社会敏感话题，挑战**尺度*受争议的社会现实题材，深度剖析*残忍*隐秘的成长真相。 **力作即将上市：《我们终将各自远扬》
热血/成长青春文学,Boy Boy（独家赠送金国栋亲笔签名“果冻布丁”互粉卡。赵长天、兰晓龙、辛夷坞倾情推荐。那些生命中永远无法忘怀的男孩和,金国栋,17.20,江苏文艺出版社,自营,青春的诸多美好，经不起似水流年，逃不过此间少年。 青春文学新偶像领军人物金国栋 万千“布丁”心中*温暖的男孩 Sorry Sorry后文字帝国少年王者回归 《萌芽》主编赵长天 著名作家兰晓龙、辛夷坞倾情推荐 那些生命中永远无法忘怀的男孩和男孩，我们守候着青春，却错过了彼此。 独家赠送金国栋亲笔签名“果冻布丁”互粉卡 经典语录： ◇你要是一个女生，与两个男生躺在一个房间里睡觉，然后他们还摸来摸去，你能睡得着吗！ ◇*棒的能力并不是你在某个时刻说出某句精彩的话来，而是在现在这样的时刻，你能忍住话不说。 ◇你性格中*精彩的一点就是反抗。 ◇一个真正的写作者，就像是吸血鬼。 ◇有些话，写给大海，
热血/成长青春文学,离爱(全国青春音乐影像小说)（当当网独家首发）,刘童,16.20,新世界出版社,自营,全国***青春音乐影像小说；青春纯爱小说新高度。 你相信，爱也是有光影和灵魂的吗？你相信，有爱的生命凋谢后会成为天使么？ 经过四个季节的轮回，刘童带领你一步步揭开少年间的隐秘与悲怆。 随书附赠：《离爱光盘》MY、主题曲、作者创作访谈实录、画册拍摄花絮、华美书签4款……
热血/成长青春文学,我只是难过不能陪你一起老（一本看数遍还会心痛流泪的青春成长之书，《我只是难过不能陪你一起老》五周年独家纪念版。）,唐扶摇/大鱼文化,14.70,花山文艺出版社,自营,截止目前已经有 500000人被它感动！ 畅销五年读者持续好评念念不忘！ 迄今**珍藏本 中国大陆**授权 青春散了，你走过了。我，什么也不说，却用一辈子来悼念。 一本看第二遍还会心痛流泪的青春成长之书 大鱼官方调查：*期待再版图书前三！ 首次续写 新增刘成蹊番外篇；彩色图文印刷 *美时光 明信片三张 书评：本人真的很喜欢这书。一直就喜欢这调调，不苦大仇深，也不悲不虐，淡淡的陈述也可以有美好的故事，很谢谢大，送给我如此美好的感觉 读者 styel 淡淡的年少爱情总是不圆满，这无奈但必然，其实我们每个人都有过书中这样曾经爱过但却没有结果的爱情。 读者 甜菜西瓜
热血/成长青春文学,十八岁，我有勇气独自旅行,花火工作室,18.40,江苏文艺出版社,自营,1、由花火工作室编著的图文集 这是一本由花火工作室编著的非常具有文艺气息的图文集，全书有多达45张高清的风景摄影大图，12个充满文艺气息的旅行地点介绍，12个花火短篇故事，内容丰富相信会吸引很多读者。 2、旅行题材的合集目前市场上还不是很多 这是一本主打“成人礼”概念的游记、小说、图文集。精选适合18岁学生独自旅行的国内景点或城市，并配以当地为背景的小说，搭配景点攻略介绍的形式，让读者们可以够鼓起勇气，行走领略我国的好山好水。 3、随书附赠全套风景明信片 本书封面特别邀请文艺摄影师拍摄了非常小清新风格的旅行照作为封面主图，还超值附赠一共12张的全套风景明信片。
热血/成长青春文学,小幸运（失语少年的救赎与复仇，超值收录独家番外2篇！）,打伞的蘑菇,20.50,贵州人民出版社,自营,◆小花阅读【一生一遇】系列四部曲之一 ◆阅读关键词：少年之爱/救赎与复仇/守护与隐情/初恋四叶草 ◆【失语少年的救赎与复仇】万物皆有裂痕，那是光照进来的地方 数不清的人们在这个世界上活着。 却为什么，让其中的一个幸福起来是如此的困难呢？ ◆超值收录番外2篇！
热血/成长青春文学,玲珑歌+相公，请隐身（赠品《鸢鸢相报》）（花火系列买二赠一套装当当独家活动限购1000册）,玄宓/草很离谱,30.20,暂无出版商,自营,《玲珑歌》：采花女贼+少年宰相情逢对手！ 《相公请隐身》： 线下官配突袭，线上大呼伤不起 腹黑专制小萝莉 VS宁死不从俊相公她拖着鼻涕和他拜堂，自带板凳只会爬床他服从圣旨将她圈养，一忍再忍苦情无比即使所有人都垂涎你，你也一定要对全世界隐身**只可以对我隐身可见！ 大神蜀客王牌推荐插画大师非墨倾献美男！ 一场旗鼓相当的情义较量，一段谁也无法逃离的背叛
热血/成长青春文学,那些回不去的年少时光套装（当当独家版本，附赠桐华精美签名照）,桐华,30.90,暂无出版商,自营,*值得珍藏的怀旧读物，纪念我们共同的青春和成长，时光包裹。
