类别,书名,作者,价格,出版社,商家,简介
青春校园文学,你是我的独家爱恋安晴 著湖南少年儿童出版社9787535887252,安晴,4.99,湖南少年儿童出版社,荣拓图书专营店,许宛妲与尹墨涵是一对命运坎坷的恋人，一个为后母及姐姐所不容，但为了父亲和家庭的稳定，而小得不时常忍气吞声，备受欺负；一个则因为私生子的身份，屡次被欺负，直至在一个雪夜坠河。多年后，两个对彼此都念念小忘的人再次相遇，但他为复仇而来，所以而对她的苦苦追问，他一次次予以否认，甚至隐藏着心中的爱意，转而去追求她的姐姐，并布下天罗地网，誓要让那些人得到应有的惩罚！而她明知道他就是当年的他，却苦于拿不出确凿的证据，想要阻阻止悲剧的发生，但有心无力。
青春校园文学,独家情商(上下),弱水千流,40.06,青岛出版社,浙江省新华书店旗舰店,暂无简介
青春校园文学,兔子的回礼 全二册 当当高定礼盒版 当当独家拉页印特签环衬，礼盒内含独家定制赠品：“青春物语”双人立牌*1，“甜度满分”,关抒耳/大鱼文化,52.60,四川文艺出版社,自营,人气青春作家关抒耳口碑之作 《夏天无从抵赖》同系列校园暗恋文 心机忠犬少年 林一砚vs古灵精怪美少女 时澄月 这个盛夏， 他暗恋了多年的兔子，终于带来了她的回礼。 1.心机忠犬少年vs古灵精怪美少女，蓄谋已久的暗恋大作战，学渣甜妹掉入心机学神的甜蜜圈套。 2. 当当高定礼盒， 当当独家拉页印特签环衬，礼盒内含独家定制赠品： 青春物语 双人立牌*1， 甜度满分 爱心挂件*1， 心动碎片 拼图冰箱贴*1， 夏日恋曲 印特签手提袋*1。 书籍一套双册，封面梦幻可爱少女风设计，内含小情侣同学录主题彩插4P，青春感满满！ 3.人气青春作家关抒耳口碑之作，《夏天无从抵赖》同系列校园暗恋文，多平台好评如潮！ 4.随书附赠多重精美赠品：兔兔情书卡 1，主角学生证 2，手工贴贴卡 1
青春校园文学,现货 学乖 【 随书附赠精美书签+Q版贴纸+手绘海报】 独家明信片已赠完,幸闻,26.40,湖南文艺出版社,中南博集天卷官方旗舰店,暂无简介
青春校园文学,惶惶 校园文人气作者小霄“英中系列”全新力作 特别撰写独家番外《回信》,小霄/力潮文创,37.50,长江出版社,自营,前半部分是在午夜之后看的，还是熟悉的文风，没看一会儿就又哭又笑的，心尖一下一下地疼。是的，我被小霄老师完全拿捏了。是两个很好的小男孩。喜欢小蝴蝶。 看到英中四部曲联动的时候真的好高兴，是熟悉的故事和熟悉的人，英中、老马还有胡秀杰，他们好像真的在另一个世界里好好生活。蛋蛋剧场依旧可爱。总之，永远可以相信小霄老师的校园文！ 网络读者 叶斯 不同于作者前几本校园文的风格，这本更酸涩一点，感情线也更细腻。前几章晃晃被欺负看得我掉眼泪，他只是因为生病和习惯了封闭自己，所以对这些伤害都钝钝的，不是不知道反抗，越往后越好看，宿命感拉满！ 除了一往而深的爱情外，亲情友情也格外动人，看哭了好多次，温柔坚定的妈妈，幽默护短的老顽童爷爷，沙雕可爱的发小们，小霄老师真的很会写！ 网络读者
青春校园文学,【现货正版】2022读者校园版合订本第53卷54卷55卷56卷青春不是谁的独家舞台愿有人与你抱团取暖成长是悄无声息青少年,其他,27.90,其他,晖文锦绣图书专营店,暂无简介
青春校园文学,此情无计 作者印特签版 一只西飞雁全新力作 实体新增八千字独家番外,一只西飞雁/大鱼文化,41.20,四川文艺出版社,自营,1、毒舌竹马李璋 治愈系青梅邵旖旎，兰馨苑最不可能在一起的两个人，竟然是超绝恋爱CP！！！ 邵旖旎：行走的人间小太阳，从140斤小胖妞逆袭成医疗界甜妹！给全小区老人当孙女，给竹马李璋当专属书童，表面天然呆实则把所有人吃得死死的 李璋：冷感禁欲系金融新贵，清冷外壳下藏着糖霜夹心！因为童年时代的 英雄救美 事件而成为邵旖旎小世界的中心 他想守护跟邵旖旎的友谊，却在日复一日的相处中逐渐心动 2、读者口碑强推，青梅竹马，友情守卫战！极限拉扯，暧昧升级！！！ 3、宝藏作者一只西飞雁，实力与口碑兼具，已出版《慌张仙人掌》《追不到的江原》《盛夏绵绵冰》《曾照云归》等多部作品，读者都给予超高评价！！！ 4、拉页设计精美彩页，还原男女主相处日常，更有作者独家新增的恋爱片段。 5、新增八千字未公开番外，读者翘首以
青春校园文学,【任选】惶惶 校园文人气作者小霄“英中系列”全新力作 特别撰写独家番外《回信》,暂无作者信息,37.50,长江出版社,小叮当图书专营店,暂无简介
青春校园文学,小小姐小MM迷你爱藏本7--傲娇公主的美丽回旋（升级版）随书附赠：独家定制淑女爱藏名片【新华书店自营】,意林·小小姐,2.00,吉林摄影出版社,辽宁出版集团图书专营店,暂无简介
青春校园文学,今天青梅恋爱没（两面派酷妹×显眼包少爷，不一样的寄宿文学！可可爱爱的真香现场！超甜校园文！新增独家番外，赠“鸡同鸭讲”切,越懒/大鱼文化,38.60,四川文艺出版社,自营,不一样的寄宿文学！可可爱爱的真香现场！ 神经比天大 两面派酷妹 心眼比针小 显眼包少爷 南知 贺弦 9.4分超甜校园文！ 新增独家番外《惊喜》 赠 鸡同鸭讲 切型书签， 不可理喻 四格小漫画。 1.神经比天大 两面派酷妹 心眼比针小 显眼包少爷，超甜的青梅竹马校园文！ 南知眼里贺弦其人 长得好，又见人说人话见鬼说鬼话，凭着那张痞帅多情的笑脸及幽默风趣的嘴，俘获了宁洲一中众多少女的心，向来是学校的话题中心。 但对南知来说，贺弦才不像别人看到的那么绅士阳光。 在她眼里，他就是个阴晴不定的混世大魔王。 从小到大，让她觉得最讨厌的，就是宁洲的天气。 以及贺弦的脑子！！！！！！ 后来 【贺：我有个问题。】 【小知了：什么？】 【贺：你总觉得我阴晴不定。】 【贺：可是我明明阴天也喜欢你，晴天也喜欢你。】 【贺：打雷下雨刮风下雪
青春校园文学,满分恋爱公式（ 网络原名：维持女配的尊严）新晋人气作家淅和校园群像代表作，新增3000字独家番外《想见你》。内含8p彩插,淅和,39.90,敦煌文艺出版社,楚洹文化图书旗舰店,暂无简介
青春校园文学,满分恋爱公式（ 网络原名：维持女配的尊严）新晋人气作家淅和校园群像代表作，新增3000字独家番外《想见你》。内含8p彩插,淅和,43.50,敦煌文艺出版社,哈尼兔图书专营店,暂无简介
青春校园文学,满分恋爱公式（ 网络原名：维持女配的尊严）新晋人气作家淅和校园群像代表作，新增3000字独家番外《想见你》。内含8p彩插,淅和,42.30,敦煌文艺出版社,搜书图书专营店,暂无简介
青春校园文学,以你为名的夏天【印签版】任凭舟,任凭舟,31.00,敦煌文艺出版社,自营,黑马作者任凭舟炽烈青春校园代表作 少年感爆棚 跩哥学霸 外柔内刚 软甜才女 晋江文学城高人气作品，34万收藏，4万评论。 实体新增8000字独家番外《今晚我不关心月亮》。 随书附送7重赠品：错题本、海报 2、Q版小卡、合影相片、学生证 2。 外封选用200g高阶映画特种纸双面彩印，正面含【立体烫印】【磨砂UV】【异形模切】三重工艺，背面含作者【印特签】一句。 内封选用200g高阶映画特种纸印刷，根据原文进行纯设。 8P彩插绘制了【写 澍 字】【滨江公园散心】【图书馆过生日】等多张甜苏名场景。 南理的香樟是阿澍耍赖皮。 澍：及时雨，天降甘露，比喻恩泽。
青春校园文学,如果森林有童话（BE美学天花板，60万人为之落泪的至纯梦幻之作。）如果你惧怕深海，那就陪我去森林吧！ 夏拾雨×木司南，囿,奈奈,38.00,湖南文艺出版社,哈尼兔图书专营店,暂无简介
青春校园文学,请不要暗恋我 全2册 作者有厌最新甜蜜校园暗恋文 钝感力直球少女姜织×恋爱脑校草学霸沈译驰双学霸的双向奔赴，新增3000,有厌/大鱼文学,45.00,江苏凤凰文艺出版社,哈尼兔图书专营店,暂无简介
