类别,书名,作者,价格,出版社,商家,简介
跨界作者,宋茜的港澳随笔（f(x)宋茜首本个人旅游散文集，官方授权引进，全球独家随赠超大阳光海报+绝美明信片册 预售版限量发售 意,宋茜,67.60,化学工业出版社,自营,本书并不仅仅是偶像明星的单纯旅行记，书里以宋茜眼中的香港和澳门旅行中的关键词进行比较，让我们更能够更好更深刻的领略到两座城市各自独特的魅力。还贴心收录了旅游TIPS和详细、准确的旅游信息，更是奉上了宋茜旅行途中拍摄的精美图片，所以本书可以说是一本了解宋茜细腻内心的随笔散文集加超级实用并很有深度的旅行指南书！ 官方中文版不仅保证内容品质与韩文版完全一致， 更是全球独家赠送超大幅阳光海报和绝美明星片卡册！ 完全是诚意十足地回馈每一个热爱着妞的忠实粉丝！
跨界作者,艾敬的故事-挣扎（当当独家，500册艾敬签名版并随书附送《挣扎》别册《艾敬和她的朋友们》),艾敬,82.80,人民美术出版社,自营,当年那个唱着《1997》的女孩长大了，在音乐人生*辉煌的时候转身，义无反顾地跨进当代艺术的大门。再见艾敬，她的身份已是一个独立的、自由的、充满活力的当代艺术家。 艾敬作为一名成功优质的艺术家，从音乐跨界当代艺术，她的成长，她的音乐，她的绘画，她的坚持，她的蜕变，这里有着多少不为人知的过程和与众不同？顺畅抑或挣扎？《挣扎》将娓娓道来。 其实，唱歌、绘画都是艺术，艾敬即艺术，艺术即艾敬，而艾敬的艺术始终坚持“用爱去创造爱”，她的每一部作品，包括音乐和绘画，都是爱的挣扎。以《挣扎》作书名，说明了作者、编者和评论者的共识。 《挣扎》——艾敬的故事，一个可爱女子的成长蜕变，告诉我们所有的经过*终会汇结成——你想要的那颗果实。 《挣扎》——让我们听艾敬如是说：艺术、生活和挣扎。
跨界作者,文艺风象·型男（2016年7月刊）,落落,11.50,长江文艺出版社,自营,关于 什么是型男 这件事，编辑们展开过激烈友好的讨论。型男，应该是样貌出众的男子？各方面的品味也很不俗？似乎不是可爱的小男孩，也不是走温软路线的少年，犀利成熟的男人 似乎也不太精准？嗯，我们心中对型男的勾勒和想象，实在太过丰富了。他是某种类型的男人，处理问题很妥帖很有个人的风格 包括自己的事，和别人的事；他应该很会穿衣服 包括自己的造型，和女朋友的造型；他应该很酷，应该很坦诚，很令人崇敬，很吸引少女心 因为，型男，一定是出色的男子呀。
跨界作者,我是歌手之百变女王周笔畅,我是歌手,22.00,光明日报出版社,自营,《我是歌手》栏目组 编著 湖南卫视【独家官方】授权 笔笔出道以来*值得拥有的珍藏版！ 独家揭露“百变女王”周笔畅的内心独白 首次直击《我是歌手》幕后内容！ 百张珍藏高清花絮照片+比赛心路历程+牵手孙坚的那些小八卦！ 360度全方位为你呈现舞台上的王者之风 华丽蜕变，我欲封王！
跨界作者,左右为楠（独家赠送精美T恤）,暂无作者信息,24.60,人民出版社,自营,暂无简介
跨界作者,华晨宇火星人的地球旅行,谷良/刘正勇,20.50,漓江出版社,自营,华晨宇火星人的地球旅行 湖南卫视【独家官方】授权 中国首档明星姐弟自助游真人秀 他是台上深情演绎的少年 也是台下呆萌的火星弟弟 花儿与少年 里众人直呼拿绳拴住的 走失帝 深萌慎入：火星人华晨宇带你领略一场地球美梦 独家专访 华晨宇：那就是真实的我 萌照大集合 幕后花絮 独家专访 旅行攻略 全彩漫画
跨界作者,奔跑吧，伊一,伊一,24.10,江苏文艺出版社,自营,伊一首次讲述自己出道的成长经历，从湖南小城走向星光璀璨是一种怎样的体验，用“自黑”幽默的语气讲述了自己出道初期被人质疑、不受肯定的低潮时期。虽然伊一现在发展成为浙江卫视当家花旦，但光鲜亮丽的表面下却是无数次艰辛的努力，尽管也曾遭遇质疑，但伊一选择继续“奔跑”，秉持着“永不止步”信念，而这些纪录都将一一在书中呈现，这是一个年轻女孩的分享，也是给更多对生活有追逐渴望的人一些参考。 这一路走来，跑步成为了伊一排解压力的好朋友，带给伊一无限正能量。跑步不仅锻炼身体还能锻炼你的大脑。在经历了那些几乎要放弃的极限之后，你会发现你在跑步过程中的努力，不仅对身体有所帮助，同时对你的大脑也有一定意义——会让你注意力更为集中，更加专注。这样，当你在生活中、工作中遇到困难时，你会更加坚毅和执着
跨界作者,初LOVE·流星雨（张翰郑爽启示真爱！附赠4男主精美卡片随机发售，独家爆料幕后花絮及千张珍藏剧照）,上海天娱传媒有限公司,28.30,湖南师范大学出版社,自营,本书的表达形式生动，选取的照片质量较高，并选用了未在其他公开场合公布的全新照片，给人以新鲜感。文字编排得当，图文结合紧凑，很好地概述了全书的主题。一些互动环节的加入，很好地展现了拍摄单位以及出版方对读者的重视，很有代表性。
跨界作者,（独家赠送签名照）艺光年·武艺 星梦奇缘影像集,暂无作者信息,32.40,湖南少儿出版社,自营,暂无简介
跨界作者,快乐有你（湖南卫视独家授权当当网网络独家销售权。快乐大本营15周年成长记录，书中更有何炅，谢娜等主持人台前幕后的工作生活,湖南广播电视台出品,28.60,湖南人民出版社,自营,暂无简介
跨界作者,（独家赠送签名照）快乐你要带回家·谭杰希青春印象纪念册,上海天娱传媒有限公司,35.80,湖南少儿出版社,自营,暂无简介
跨界作者,寻找马里奥 当当独家限量亲笔签名照片版,马里奥毛瑞尔,34.30,江苏科学技术出版社,自营,★随书赠送2张明信片，忠粉必藏，这是马里奥为粉丝精心准备的礼物。 ★限量版赠送马里奥亲笔签名照——帅到让你尖叫！三款照片，*发送！ ★这是马里奥亲自授权的图文写真珍藏集，是他自己**认可的*满意的作品，独家收录马里奥24小时不间断的贴身写真，一次拥有马里奥的全部！ ★国际知名摄影师专业技术拍摄，不同的诠释手法展现不一样的马里奥，除了有运动型、安静型、理性型、感性型、安静型、活泼型之外，阳光中埋藏的神祕性感，足以让你疯狂。 ★帅气男神的内心独白：本书讲述了马里奥对亲情、爱情、事业的看法，对人生的思考，以及对整个世界的态度，从150句内心独白中可以窥探马里奥鲜为人知的心路历程。 ★海量高清大图，给予超强视觉冲击：本书收录超过200幅高清大图，各种风格应有尽有，运动、思考、阅读、睡觉、旅行……每一帧都唯
跨界作者,逆向旅程——辰亦儒温哥华留学记（辰亦儒亲笔签名本，当当网独家限量特供）（Hebe、Ella、汪东城、吴尊、炎亚纶，著名音,辰亦儒,34.30,湖南人民出版社,自营,这是飞轮海成员辰亦儒的首本个人写真集！这本书不仅记录了他在加拿大求学、生活的经验分享，更表现出不同文化的碰撞。这本书可以让人认识自己，发现自己的潜能，更能打开新视野，唤起新思维。想要探索这位神秘少年，了解这个男人，就一起打开书，一起温哥华之旅吧！
跨界作者,玄彬·彬临城下（官方独家正版授权，玄彬绝版珍藏图文传记。随书赠送全球首发参训采访影像光盘，精美海报与珍藏版明信片。更有当,金焕基,34.30,光明日报出版社,自营,★ 韩国年度畅销作品 ★ 官方独家正版授权 全球亿万粉丝疯狂热追 “玄动我心”玄彬中文社区 倾情推荐 1.全球亿万粉丝疯狂热追亚洲人气天王玄彬精美写真集，万千粉丝翘首期待。 2.高度珍藏价值玄彬出道十年，绝版珍藏图文传记。韩国年度畅销作品，官方独家正版授权。 3.图书高品质，精美包装16K精装，铜板全彩内页；设计时尚、亮丽。 4.随书豪华赠品买一赠三，全球独家首发参训影像光盘1张，精美海报1张，珍藏版明信片1套。 原名《玄彬的海军陆战队日记》 中文版荣耀巨献 玄彬出道十年，绝版珍藏图文传记 *真实的影像记忆，*温柔的内心剖白 全世界失眠，只因独一无二的你
跨界作者,一个人旅行（当当独家预售，限量一万册，李炜首本图文成长记录书，远赴伦敦拍摄，200张未曝光大片，直面质疑首次发声！赠送独,李炜,34.30,暂无出版商,自营,◎ 他是个倔强却心怀力量的简单少年，他不爱说话，却坚守梦想，他说他的人生，靠音乐壮行。 ◎他说，在这个没有灯塔的年代里，我们要记得，给自己点亮一盏心灯，以梦为马，热爱音乐。这个世界有许多无奈，但总有一些信念会以某种无形的强大力量存在着，只要怀揣梦想，一步一步，那就是希望。 ◎他还说，感谢那些曾经，感谢那些未来，也感谢一直支持和看轻我的人，因为有你们，我才不断提醒自己继续埋头往前走；感谢父母，感谢伙伴。感谢失败，也感谢荣耀。过去的成绩已经清零，一切将重新上路，对我来说，那将是一场关于音乐的未知旅行。 ◎ 读完这本书，你将看到——褪去一切华丽，他是歌手李炜。
跨界作者,青春映乐：快乐女声12强写真纪事（独家绝版印厂打样随机发售，数量有限，先到先得。另有12款限量版明星卡及超值明星艺能课程,上海天娱传媒有限公司,41.70,人民邮电出版社,自营,随书赠送2011快乐女声12强明星卡一张，独立编号，限量发行。段林希、洪辰、刘忻、苏妙玲、杨洋、李斯丹妮、王艺洁、付梦妮、喻佳丽、DL组合、金银玲、陆翊，12款*配发。凭卡上的验证码，参与“谁是**影响力的快乐女声”评选活动，支持你喜欢的明星。参与投票者还**会获得明星签名海报、签名CD、现场演唱会门票。预售图书再添惊喜，附赠超值“天娱青春计划”体验邀请卡一张。凭卡可免费体验“天娱青春计划”明星老师为你量身打造的艺能训练课程一次，将**会成为新一代偶像明星。以上赠品数量有限，先购先得！ 湖南卫视、天娱传媒强势品牌“快乐女声”2011年**之唱。 段林希、洪辰、刘忻、苏妙玲、杨洋、李斯丹妮、王艺洁、付梦妮、喻佳丽、DL组合、金银玲、陆翊12强写真纪事精彩呈现。 电影风格的照片记录了12强艺人台前幕后的每
跨界作者,（独家赠送签名照）倾城之恋·陈翔光纪写真,暂无作者信息,35.80,湖南少儿出版社,自营,暂无简介
跨界作者,（独家赠送签名照）宠爱：吴俊余小热恋珍藏集,暂无作者信息,35.80,湖南少儿出版社,自营,暂无简介
跨界作者,《胜女的代价：LOVESTICKY》（当当网独家发售，附赠海报1张。陈乔恩，张翰，高以翔三地偶像倾情出演《胜女的代价》全,明道工作室/LOTUS工作室,34.30,青岛出版社,自营,推荐购买 《胜女的代价》 （ 两岸三地优质偶像倾情演绎，都市华丽爱情像《胜女的代价》同名小说，湖南卫视暑期强档热播！） 写真对每页版式进行精心设计，并突出照片的唯美，及人物的精致；将浪漫、唯美、精致的气息布满整本写真。根据伦敦、上海、台北三地的拍摄的图片，对写真进行划分，每个地方都有属于自己的地标剪影LOGO。
跨界作者,这个世界让我有一点不懂,汪苏泷,33.80,北京联合出版公司,自营,超值赠品 ◆随书赠送7张精美明信片 1张超大海报 汪苏泷私家菜谱！ 不只让你听到，我还想让你看到。 90世代 全优 音乐偶像，音乐数据全面超越传统歌手，电视剧《花千骨》主题曲《年轮》创作人，100张从未公开过的优质大图。 为什么不能想怎样就怎样 为什么总有人不懂尊重 为什么要坚持 为什么不能坚持 为什么我们都很健忘 为什么不能好好说话 为什么不愿陪伴 为什么无法归来 其实这个世界，让我们有一点不懂 关于这本书，汪苏泷说： 不是写真，不是自传，是随笔。一本正正经经的书，尽管它看起来不太像。这世界，切忌不懂装懂，也切忌故作沉默。轻松、调侃、犀利、深刻。
跨界作者,如果我能说了算,周笔畅,37.90,湖南文艺出版社,自营,○历经10个月精心策划，300天潜心创作，华语小天后周笔畅***文字作品，全书取景于美国加州，主题照片独家曝光。 ○全书以文字为主，集合了短篇小说、随笔、游记等元素，凭借新颖视角，独树一帜的语言，成为**“笔式”风格的代表作。 ○精美四色印制，全新进口特种纸华丽包装，带来超震撼视觉冲击力。
跨界作者,韩庚1221：（限量发行1000册）（独家赠送韩庚MTV颁奖海报+4张LOMO卡+银版海报）,乐华娱乐.LOTUS工作室,41.30,辽宁教育出版社,自营,"限量版预售2天，全部售罄。 相关推荐《韩庚1221》（银版） 《韩庚1221》（金版）限量发行12210本，封面烫金，附赠华美海报（银版海报+金版大海报）+明信片套装（全4张） 2009.12.21，韩庚一个人的24小时,由《韩庚1221》纪录； 2010.12.21，《韩庚1221》，由你们记录！ 韩庚2010全新概念书 = 韩庚官方授权 + 全程跟拍独家照 + 专业团队打造。 单飞后的他 在过去的365天里， 从沉静，到爆发，到收获， 给予我们期待、惊喜、快乐…… 到底这一年的记录有多完整？ 历时一年全程跟拍，专业团队，台前至幕后，360度完美呈现*真实的韩庚，每一页都有意想不到的惊喜。"
跨界作者,知韩 THE HOTTEST 2PM(附2PM独家造型书签6张),Korea/Entertainment/Media,35.80,北京艺术与科学电子出版社,自营,★韩国Korea Entertainment Media媒体集团原版独家授权的《10+ Aisa Star》大陆简体版第4卷 ★韩国人气天团2PM成员玉泽演《Who Are You》拍摄现场直击，独家幕后花絮图+精美写真图+采访实录 ★新生势力B.A.P“太平洋巡演”台前幕后+帝国之子（ZE:A）粉丝见面会美图+**“K-POP”女子组合after school独家采访 ★人气剧《听见你的声音》、《鲨鱼》拍摄地探秘
跨界作者,黄雅莉：奇幻秀,创享家/黄雅莉,47.60,漫友杂志社,自营,圈内大牌好友亲笔作序 《我是歌手》总导演洪涛，著名主持人何炅，著名歌手孙燕姿、羽泉、张韶涵、品冠，携手推荐！ 从 超女 到黄雅莉，她一路成长，现在她已经准备好，将她的奇幻世界纷呈展现。 黄雅莉2014年全新专辑，华语音乐圈首创以漫画书形式发表音乐专辑。 音乐与漫画跨界合作，创意歌手黄雅莉用音乐、漫画、装置、艺术与时尚建构出一个专属于黄雅莉俏皮、天马行空的奇幻世界，直率的创享人生哲学、停不下的创意手作。让人叹为观止的黄雅莉的才华大展现！ 更多精彩图书请查看漫友文化品牌店
跨界作者,罗辑课：24个妈妈教我的街头智慧（精装版）（独家附赠时尚豹纹书盒相框、超大海报、鼠标垫、时尚潮卡）,罗志祥,48.90,化学工业出版社,自营,天王罗志祥 打破逻辑 变身“罗老师！” ***有趣的24堂人生智慧课 罗妈妈首度公开惊世传家宝——罗氏街头教学法 **本学校没教、电视没演的街头智慧宝典
跨界作者,见风（当当独家限量风暴版）,刘昊然,48.90,中国友谊出版公司,自营,我希望自己有足够的运气与足够的勇气 去见到命运里不同的风。 也期待在未来的日子里， 能够被这些涌动的气流雕刻成不一样的山川与河流。 刘昊然首本图书作品，240页图文、6万字文字轻声讲述20岁的遇见，在外境之中，寻找内在的力量。 土耳其实地取景 胶片影像写真拍摄 双封面自由选择 裸线锁背工艺，充分展示内页图文 风琴折拉页展示 随书附赠：胶片影像写真明信片5张 超大海报1张 胶片概念书签1张
跨界作者,贾斯汀·比伯——第一步到永远：我的故事（当当网独家限量版）（现货发售，数量有限售完为止）,贾斯汀/卡普林/曾桂娥,55.10,长江文艺出版社,自营,我的家人和朋友教会我要永远心存感激，所以，谢谢你们。没有你们，我无法成为今天的我。我在舞台上能够看到你们，现在，你们也能看到真正的我。这本书讲述了我的世界改变得多大、多快——谢谢你们不懈的支持。 这就是我，贾斯汀…… 这只是通向永远的**步。
